t,causal,math_ms_mean,math_ms_std,triton_ms_mean,triton_ms_std
512,0,1.276850700378418,0.09180290251970291,1.9012317061424255,0.11267361044883728
1024,0,1.30385160446167,0.052383702248334885,2.0116716623306274,0.03269999474287033
2048,0,1.3483092188835144,0.0910065770149231,1.9807741045951843,0.05363865941762924
4096,0,1.4128908514976501,0.030278516933321953,2.010449767112732,0.03574666753411293
8192,0,4.042036831378937,0.0031816107220947742,3.503456711769104,0.016482576727867126
16384,0,15.022754669189453,0.009633383713662624,11.466234922409058,0.006338370032608509
512,1,1.4056935906410217,0.05000731721520424,1.9938349723815918,0.07059580087661743
1024,1,1.4294087886810303,0.06235209479928017,1.9534379243850708,0.03427457809448242
2048,1,1.4808624982833862,0.031873125582933426,1.9952133297920227,0.016913997009396553
4096,1,1.6095414757728577,0.011813442222774029,2.083301544189453,0.0325339213013649
8192,1,5.164720118045807,0.003467313712462783,4.053913056850433,0.005707796197384596
16384,1,19.349999725818634,0.0064661530777812,13.649329543113708,0.013087146915495396
